Spot,Price,Delta,Gamma,Theta,Rho,Vega
50.000000,0.124545,0.025639,0.832272,0.265469,2.306757,4.165365
51.000000,0.154345,0.029800,0.000000,0.313755,2.784665,4.893033
52.000000,0.184145,0.034993,1.038556,0.362040,3.262573,5.620700
53.000000,0.224330,0.040185,0.000000,0.420942,3.873507,6.494149
54.000000,0.264516,0.046498,1.262589,0.479844,4.484441,7.367597
55.000000,0.317327,0.052811,0.000000,0.549790,5.245304,8.386859
56.000000,0.370139,0.060307,1.499070,0.619736,6.006166,9.406121
57.000000,0.437941,0.067802,0.000000,0.700779,6.931529,10.564918
58.000000,0.505743,0.076512,1.742004,0.781822,7.856892,11.723715
59.000000,0.590965,0.085222,-0.000000,0.873629,8.958245,13.009578
60.000000,0.676187,0.095147,1.985081,0.965435,10.059598,14.295442
61.000000,0.781260,0.105073,0.000000,1.067296,11.344784,15.690260
62.000000,0.886333,0.116183,2.222040,1.169157,12.629970,17.085079
63.000000,1.013626,0.127293,-0.000000,1.280028,14.102818,18.565992
64.000000,1.140919,0.139528,2.447003,1.390899,15.575666,20.046904
65.000000,1.292683,0.151763,-0.000000,1.509447,17.235844,21.587440
66.000000,1.444446,0.165037,2.654729,1.627996,18.896023,23.127977
67.000000,1.622757,0.178311,0.000000,1.752671,20.739094,24.699333
68.000000,1.801067,0.192515,2.840814,1.877346,22.582165,26.270689
69.000000,2.007786,0.206719,0.000000,2.006448,24.599818,27.843043
70.000000,2.214505,0.221728,3.001806,2.135549,26.617470,29.415396
71.000000,2.451242,0.236737,0.000000,2.267302,28.797905,30.959162
72.000000,2.687978,0.252413,3.135257,2.399055,30.978339,32.502927
73.000000,2.956068,0.268089,0.000000,2.531677,33.306761,33.989887
74.000000,3.224157,0.284288,3.239710,2.664298,35.635183,35.476847
75.000000,3.524644,0.300486,0.000000,2.796060,38.094372,36.881106
76.000000,3.825130,0.317060,3.314643,2.927823,40.553561,38.285365
77.000000,4.158763,0.333633,0.000000,3.057107,43.124473,39.584096
78.000000,4.492396,0.350435,3.360374,3.186391,45.695386,40.882827
79.000000,4.859633,0.367237,0.000000,3.311726,48.357766,42.056801
80.000000,5.226869,0.384126,3.377941,3.437061